Reference	Abbr	Text
Nehemiah 7:69	Ne 7:69	their camels 435, and their donkeys 6,720. 
Nehemiah 7:70	Ne 7:70	Now some of the heads of fathers’ houses gave to the work. The governor gave to the treasury 1,000 darics of gold, 50 basins, 30 priests’ garments and 500 minas of silver. 
Nehemiah 7:71	Ne 7:71	And some of the heads of fathers’ houses gave into the treasury of the work 20,000 darics of gold and 2,200 minas of silver. 
Nehemiah 7:72	Ne 7:72	And what the rest of the people gave was 20,000 darics of gold, 2,000 minas of silver, and 67 priests’ garments. 
Nehemiah 7:73	Ne 7:73	So the priests, the Levites, the gatekeepers, the singers, some of the people, the temple servants, and all Israel, lived in their towns.  And when the seventh month had come, the people of Israel were in their towns. 
Nehemiah 8:1	Ne 8:1	And all the people gathered as one man into the square before the Water Gate. And they told Ezra the scribe to bring the Book of the Law of Moses that the Lord had commanded Israel. 
Nehemiah 8:2	Ne 8:2	So Ezra the priest brought the Law before the assembly, both men and women and all who could understand what they heard, on the first day of the seventh month. 
Nehemiah 8:3	Ne 8:3	And he read from it facing the square before the Water Gate from early morning until midday, in the presence of the men and the women and those who could understand. And the ears of all the people were attentive to the Book of the Law. 
Nehemiah 8:4	Ne 8:4	And Ezra the scribe stood on a wooden platform that they had made for the purpose. And beside him stood Mattithiah, Shema, Anaiah, Uriah, Hilkiah, and Maaseiah on his right hand, and Pedaiah, Mishael, Malchijah, Hashum, Hashbaddanah, Zechariah, and Meshullam on his left hand. 
Nehemiah 8:5	Ne 8:5	And Ezra opened the book in the sight of all the people, for he was above all the people, and as he opened it all the people stood. 
Nehemiah 8:6	Ne 8:6	And Ezra blessed the Lord, the great God, and all the people answered, “Amen, Amen,” lifting up their hands. And they bowed their heads and worshiped the Lord with their faces to the ground. 
Nehemiah 8:7	Ne 8:7	Also Jeshua, Bani, Sherebiah, Jamin, Akkub, Shabbethai, Hodiah, Maaseiah, Kelita, Azariah, Jozabad, Hanan, Pelaiah, the Levites, helped the people to understand the Law, while the people remained in their places. 
Nehemiah 8:8	Ne 8:8	They read from the book, from the Law of God, clearly, and they gave the sense, so that the people understood the reading. 
Nehemiah 8:9	Ne 8:9	And Nehemiah, who was the governor, and Ezra the priest and scribe, and the Levites who taught the people said to all the people, “This day is holy to the Lord your God; do not mourn or weep.” For all the people wept as they heard the words of the Law. 
Nehemiah 8:10	Ne 8:10	Then he said to them, “Go your way. Eat the fat and drink sweet wine and send portions to anyone who has nothing ready, for this day is holy to our Lord. And do not be grieved, for the joy of the Lord is your strength.” 
Nehemiah 8:11	Ne 8:11	So the Levites calmed all the people, saying, “Be quiet, for this day is holy; do not be grieved.” 
Nehemiah 8:12	Ne 8:12	And all the people went their way to eat and drink and to send portions and to make great rejoicing, because they had understood the words that were declared to them. 
Nehemiah 8:13	Ne 8:13	On the second day the heads of fathers’ houses of all the people, with the priests and the Levites, came together to Ezra the scribe in order to study the words of the Law. 
Nehemiah 8:14	Ne 8:14	And they found it written in the Law that the Lord had commanded by Moses that the people of Israel should dwell in booths during the feast of the seventh month, 
Nehemiah 8:15	Ne 8:15	and that they should proclaim it and publish it in all their towns and in Jerusalem, “Go out to the hills and bring branches of olive, wild olive, myrtle, palm, and other leafy trees to make booths, as it is written.” 
Nehemiah 8:16	Ne 8:16	So the people went out and brought them and made booths for themselves, each on his roof, and in their courts and in the courts of the house of God, and in the square at the Water Gate and in the square at the Gate of Ephraim. 
Nehemiah 8:17	Ne 8:17	And all the assembly of those who had returned from the captivity made booths and lived in the booths, for from the days of Jeshua the son of Nun to that day the people of Israel had not done so. And there was very great rejoicing. 
Nehemiah 8:18	Ne 8:18	And day by day, from the first day to the last day, he read from the Book of the Law of God. They kept the feast seven days, and on the eighth day there was a solemn assembly, according to the rule. 
Nehemiah 9:1	Ne 9:1	Now on the twenty-fourth day of this month the people of Israel were assembled with fasting and in sackcloth, and with earth on their heads. 
Nehemiah 9:2	Ne 9:2	And the Israelites separated themselves from all foreigners and stood and confessed their sins and the iniquities of their fathers. 
Nehemiah 9:3	Ne 9:3	And they stood up in their place and read from the Book of the Law of the Lord their God for a quarter of the day; for another quarter of it they made confession and worshiped the Lord their God. 
Nehemiah 9:4	Ne 9:4	On the stairs of the Levites stood Jeshua, Bani, Kadmiel, Shebaniah, Bunni, Sherebiah, Bani, and Chenani; and they cried with a loud voice to the Lord their God. 
Nehemiah 9:5	Ne 9:5	Then the Levites, Jeshua, Kadmiel, Bani, Hashabneiah, Sherebiah, Hodiah, Shebaniah, and Pethahiah, said, “Stand up and bless the Lord your God from everlasting to everlasting. Blessed be your glorious name, which is exalted above all blessing and praise. 
Nehemiah 9:6	Ne 9:6	 “You are the Lord, you alone. You have made heaven, the heaven of heavens, with all their host, the earth and all that is on it, the seas and all that is in them; and you preserve all of them; and the host of heaven worships you. 
Nehemiah 9:7	Ne 9:7	You are the Lord, the God who chose Abram and brought him out of Ur of the Chaldeans and gave him the name Abraham. 
Nehemiah 9:8	Ne 9:8	You found his heart faithful before you, and made with him the covenant to give to his offspring the land of the Canaanite, the Hittite, the Amorite, the Perizzite, the Jebusite, and the Girgashite. And you have kept your promise, for you are righteous. 
Nehemiah 9:9	Ne 9:9	“And you saw the affliction of our fathers in Egypt and heard their cry at the Red Sea, 
Nehemiah 9:10	Ne 9:10	and performed signs and wonders against Pharaoh and all his servants and all the people of his land, for you knew that they acted arrogantly against our fathers. And you made a name for yourself, as it is to this day. 
Nehemiah 9:11	Ne 9:11	And you divided the sea before them, so that they went through the midst of the sea on dry land, and you cast their pursuers into the depths, as a stone into mighty waters. 
Nehemiah 9:12	Ne 9:12	By a pillar of cloud you led them in the day, and by a pillar of fire in the night to light for them the way in which they should go. 
Nehemiah 9:13	Ne 9:13	You came down on Mount Sinai and spoke with them from heaven and gave them right rules and true laws, good statutes and commandments, 
Nehemiah 9:14	Ne 9:14	and you made known to them your holy Sabbath and commanded them commandments and statutes and a law by Moses your servant. 
Nehemiah 9:15	Ne 9:15	You gave them bread from heaven for their hunger and brought water for them out of the rock for their thirst, and you told them to go in to possess the land that you had sworn to give them. 
Nehemiah 9:16	Ne 9:16	“But they and our fathers acted presumptuously and stiffened their neck and did not obey your commandments. 
Nehemiah 9:17	Ne 9:17	They refused to obey and were not mindful of the wonders that you performed among them, but they stiffened their neck and appointed a leader to return to their slavery in Egypt. But you are a God ready to forgive, gracious and merciful, slow to anger and abounding in steadfast love, and did not forsake them. 
Nehemiah 9:18	Ne 9:18	Even when they had made for themselves a golden calf and said, ‘This is your God who brought you up out of Egypt,’ and had committed great blasphemies, 
Nehemiah 9:19	Ne 9:19	you in your great mercies did not forsake them in the wilderness. The pillar of cloud to lead them in the way did not depart from them by day, nor the pillar of fire by night to light for them the way by which they should go. 
Nehemiah 9:20	Ne 9:20	You gave your good Spirit to instruct them and did not withhold your manna from their mouth and gave them water for their thirst. 
Nehemiah 9:21	Ne 9:21	Forty years you sustained them in the wilderness, and they lacked nothing. Their clothes did not wear out and their feet did not swell. 
Nehemiah 9:22	Ne 9:22	“And you gave them kingdoms and peoples and allotted to them every corner. So they took possession of the land of Sihon king of Heshbon and the land of Og king of Bashan. 
Nehemiah 9:23	Ne 9:23	You multiplied their children as the stars of heaven, and you brought them into the land that you had told their fathers to enter and possess. 
Nehemiah 9:24	Ne 9:24	So the descendants went in and possessed the land, and you subdued before them the inhabitants of the land, the Canaanites, and gave them into their hand, with their kings and the peoples of the land, that they might do with them as they would. 
Nehemiah 9:25	Ne 9:25	And they captured fortified cities and a rich land, and took possession of houses full of all good things, cisterns already hewn, vineyards, olive orchards and fruit trees in abundance. So they ate and were filled and became fat and delighted themselves in your great goodness. 
Nehemiah 9:26	Ne 9:26	“Nevertheless, they were disobedient and rebelled against you and cast your law behind their back and killed your prophets, who had warned them in order to turn them back to you, and they committed great blasphemies. 
Nehemiah 9:27	Ne 9:27	Therefore you gave them into the hand of their enemies, who made them suffer. And in the time of their suffering they cried out to you and you heard them from heaven, and according to your great mercies you gave them saviors who saved them from the hand of their enemies. 
Nehemiah 9:28	Ne 9:28	But after they had rest they did evil again before you, and you abandoned them to the hand of their enemies, so that they had dominion over them. Yet when they turned and cried to you, you heard from heaven, and many times you delivered them according to your mercies. 
Nehemiah 9:29	Ne 9:29	And you warned them in order to turn them back to your law. Yet they acted presumptuously and did not obey your commandments, but sinned against your rules, which if a person does them, he shall live by them, and they turned a stubborn shoulder and stiffened their neck and would not obey. 
Nehemiah 9:30	Ne 9:30	Many years you bore with them and warned them by your Spirit through your prophets. Yet they would not give ear. Therefore you gave them into the hand of the peoples of the lands. 
Nehemiah 9:31	Ne 9:31	Nevertheless, in your great mercies you did not make an end of them or forsake them, for you are a gracious and merciful God. 
Nehemiah 9:32	Ne 9:32	“Now, therefore, our God, the great, the mighty, and the awesome God, who keeps covenant and steadfast love, let not all the hardship seem little to you that has come upon us, upon our kings, our princes, our priests, our prophets, our fathers, and all your people, since the time of the kings of Assyria until this day. 
Nehemiah 9:33	Ne 9:33	Yet you have been righteous in all that has come upon us, for you have dealt faithfully and we have acted wickedly. 
Nehemiah 9:34	Ne 9:34	Our kings, our princes, our priests, and our fathers have not kept your law or paid attention to your commandments and your warnings that you gave them. 
Nehemiah 9:35	Ne 9:35	Even in their own kingdom, and amid your great goodness that you gave them, and in the large and rich land that you set before them, they did not serve you or turn from their wicked works. 
Nehemiah 9:36	Ne 9:36	Behold, we are slaves this day; in the land that you gave to our fathers to enjoy its fruit and its good gifts, behold, we are slaves. 
Nehemiah 9:37	Ne 9:37	And its rich yield goes to the kings whom you have set over us because of our sins. They rule over our bodies and over our livestock as they please, and we are in great distress. 
